Started logging on 2023-09-05 09:23:55.719937
Listening on COM3
Received: X: 233, Y: 512, Button: 1 at 2023-09-05 09:23:57.549933
Received: X: 233, Y: 512, Button: 1 at 2023-09-05 09:23:57.553933
Received: X: 233, Y: 512, Button: 1 at 2023-09-05 09:23:57.557931
Received: X: 209, Y: 512, Button: 1 at 2023-09-05 09:23:57.561929
Received: X: 209, Y: 512, Button: 1 at 2023-09-05 09:23:57.565972
Received: X: 209, Y: 512, Button: 1 at 2023-09-05 09:23:57.569933
Received: X: 178, Y: 512, Button: 1 at 2023-09-05 09:23:57.573930
Received: X: 178, Y: 512, Button: 1 at 2023-09-05 09:23:57.578973
Received: X: 178, Y: 512, Button: 1 at 2023-09-05 09:23:57.582971
Received: X: 163, Y: 512, Button: 1 at 2023-09-05 09:23:57.587126
Received: X: 163, Y: 512, Button: 1 at 2023-09-05 09:23:57.590751
Received: X: 149, Y: 512, Button: 1 at 2023-09-05 09:23:57.594750
Received: X: 149, Y: 512, Button: 1 at 2023-09-05 09:23:57.598755
Received: X: 149, Y: 512, Button: 1 at 2023-09-05 09:23:57.605750
Received: X: 136, Y: 512, Button: 1 at 2023-09-05 09:23:57.606783
Received: X: 136, Y: 512, Button: 1 at 2023-09-05 09:23:57.611753
Received: X: 136, Y: 512, Button: 1 at 2023-09-05 09:23:57.615757
Received: X: 130, Y: 512, Button: 1 at 2023-09-05 09:23:57.619039
Received: X: 130, Y: 512, Button: 1 at 2023-09-05 09:23:57.624044
Received: X: 130, Y: 512, Button: 1 at 2023-09-05 09:23:57.629578
Received: X: 123, Y: 512, Button: 1 at 2023-09-05 09:23:57.631580
Received: X: 123, Y: 512, Button: 1 at 2023-09-05 09:23:57.635939
Received: X: 123, Y: 512, Button: 1 at 2023-09-05 09:23:57.639579
Received: X: 118, Y: 512, Button: 1 at 2023-09-05 09:23:57.643579
Received: X: 118, Y: 512, Button: 1 at 2023-09-05 09:23:57.647628
Received: X: 114, Y: 512, Button: 1 at 2023-09-05 09:23:57.652626
Received: X: 114, Y: 512, Button: 1 at 2023-09-05 09:23:57.656626
Received: X: 114, Y: 512, Button: 1 at 2023-09-05 09:23:57.660623
Received: X: 103, Y: 512, Button: 1 at 2023-09-05 09:23:57.664623
Received: X: 103, Y: 512, Button: 1 at 2023-09-05 09:23:57.668624
Received: X: 103, Y: 512, Button: 1 at 2023-09-05 09:23:57.672936
Received: X: 93, Y: 512, Button: 1 at 2023-09-05 09:23:57.676622
Received: X: 93, Y: 512, Button: 1 at 2023-09-05 09:23:57.680934
Received: X: 79, Y: 512, Button: 1 at 2023-09-05 09:23:57.685161
Received: X: 79, Y: 512, Button: 1 at 2023-09-05 09:23:57.688940
Received: X: 79, Y: 512, Button: 1 at 2023-09-05 09:23:57.692938
Received: X: 64, Y: 512, Button: 1 at 2023-09-05 09:23:57.696940
